condition,scenario,best_iae_controller,best_iae,best_sse_controller,best_sse,best_energy_controller,best_control_energy
combined_stress,ramp,Residual SAC-Hinf,5.315914663755512,Hinf,19.866086481435264,Residual SAC-LQR,275.4126774282205
combined_stress,sine,Hinf,29.77580089915315,Hinf,17.818275880999124,Residual SAC-Hinf,287.7119999999777
combined_stress,step_load_disturbance,Hinf,31.34468733596149,Residual SAC-Hinf,30.325407092927843,Residual SAC-Hinf,287.7119999999777
combined_stress,step_nominal,Hinf,29.775800899153367,Residual SAC-Hinf,19.95497979276737,Residual SAC-Hinf,287.7119999999777
friction,ramp,Residual SAC-Hinf,0.2585251118665541,Residual SAC-Hinf,0.4821711177001163,MPC,72.91971279179825
friction,sine,Hinf,15.744377236086647,Residual SAC-Hinf,0.7839224867049908,Residual SAC-MPC,163.0346762188333
friction,step_load_disturbance,Hinf,12.497726536197469,Hinf,0.1760015297722401,MPC,151.38201523699595
friction,step_nominal,Hinf,12.415375896708197,Hinf,0.0352003250785568,MPC,145.0679987780083
j_plus_50,ramp,Residual SAC-Hinf,0.4222208904892031,Residual SAC-Hinf,0.8262082863876955,MPC,138.1259586004434
j_plus_50,sine,Hinf,20.68742371729796,Residual SAC-Hinf,1.2153655871312623,Residual SAC-MPC,205.94013330910897
j_plus_50,step_load_disturbance,Hinf,18.599746024359224,Hinf,0.1408013549031244,MPC,220.2582818665169
j_plus_50,step_nominal,Hinf,18.227853789576763,Hinf,9.482071448019269e-09,MPC,209.89397712132387
nominal,ramp,Residual SAC-Hinf,0.24210199403803023,Residual SAC-Hinf,0.44798032532289656,MPC,67.6485363880668
nominal,sine,Hinf,15.47923037519835,Residual SAC-Hinf,0.7456636237943769,Residual SAC-MPC,160.8942433961105
nominal,step_load_disturbance,Hinf,12.21378434638784,Hinf,0.1408012198291629,MPC,147.02240115358833
nominal,step_nominal,Hinf,12.140318722922022,Hinf,1.9189735667168863e-09,MPC,141.35643313581613
ra_plus_50,ramp,Residual SAC-Hinf,0.4037260298158,Residual SAC-Hinf,0.7766246764756403,MPC,138.18596785238825
ra_plus_50,sine,Hinf,19.531810009982387,Residual SAC-Hinf,1.1711842846481104,Residual SAC-MPC,199.70117540075933
ra_plus_50,step_load_disturbance,Hinf,17.186014847551583,Hinf,0.2075955747855465,MPC,210.96843098744995
ra_plus_50,step_nominal,Hinf,16.754586939627238,Hinf,0.0003323106963338,MPC,196.54655646847144
saturation,ramp,Hinf,2.5354473820589227,Hinf,8.701257996030819,Residual SAC-LQR,266.2365325568758
saturation,sine,Hinf,26.894748234560176,Hinf,6.448788162501064,Residual SAC-Hinf,287.7119999999777
saturation,step_load_disturbance,Hinf,28.47695818537347,Residual SAC-Hinf,18.426330494000013,Residual SAC-Hinf,287.7119999999777
saturation,step_nominal,Hinf,26.8947482345604,Residual SAC-Hinf,7.922247162385119,Residual SAC-Hinf,287.7119999999777
