condition,scenario,best_iae_controller,best_iae,best_energy_controller,best_control_energy,best_sse_controller,best_steady_state_error
combined_stress,ramp,Hinf_state_feedback,5.3258445522884506,PID,89.8159192166311,Hinf_state_feedback,19.866086481435264
combined_stress,sine,LQR,29.77580089915315,TD3_loaded,106.74479077247982,LQR,17.818275880999124
combined_stress,step_load_disturbance,LQR,31.34468733596149,TD3_loaded,128.52813417357564,LQR,33.31574999494058
combined_stress,step_nominal,LQR,29.775800899153367,TD3_loaded,141.18501627515283,LQR,23.779816709919142
friction,ramp,Hinf_state_feedback,0.41586907100118176,LQI,27.5488292413796,Hinf_state_feedback,0.8365630018834591
friction,sine,Hinf_state_feedback,15.744377236086647,LQI,74.59838553157634,Hinf_state_feedback,0.9649700899687437
friction,step_load_disturbance,Hinf_state_feedback,12.497726536197469,LQI,77.64726929665302,Hinf_state_feedback,0.17600152977224012
friction,step_nominal,Hinf_state_feedback,12.415375896708195,LQI,68.04595229665475,Hinf_state_feedback,0.03520032507855689
j_plus_50,ramp,Hinf_state_feedback,0.5951507815343312,LQI,51.3634218234281,Hinf_state_feedback,1.2019422063314147
j_plus_50,sine,Hinf_state_feedback,20.687423717297957,TD3_loaded,147.60811191512857,TD3_loaded,0.23424415649786398
j_plus_50,step_load_disturbance,Hinf_state_feedback,18.599746024359224,LQI,162.7222956109352,Hinf_state_feedback,0.14080135490312443
j_plus_50,step_nominal,Hinf_state_feedback,18.227853789576763,TD3_loaded,147.5598526855002,Hinf_state_feedback,9.482071448019269e-09
nominal,ramp,Hinf_state_feedback,0.3984058280712065,LQI,24.55995800475878,Hinf_state_feedback,0.8013627026655351
nominal,sine,Hinf_state_feedback,15.47923037519835,LQI,69.96365057446202,Hinf_state_feedback,0.9297697970643304
nominal,step_load_disturbance,Hinf_state_feedback,12.21378434638784,LQI,72.31955418522155,Hinf_state_feedback,0.14080121982916297
nominal,step_nominal,Hinf_state_feedback,12.140318722922022,LQI,63.208853481119206,Hinf_state_feedback,1.9189735667168863e-09
ra_plus_50,ramp,Hinf_state_feedback,0.5842021094231586,LQI,51.363629238420835,Hinf_state_feedback,1.1798453282538746
ra_plus_50,sine,Hinf_state_feedback,19.531810009982387,LQI,148.8665008622154,Hinf_state_feedback,1.3544574186960938
ra_plus_50,step_load_disturbance,Hinf_state_feedback,17.186014847551583,LQI,150.84409298669928,Hinf_state_feedback,0.20759557478554655
ra_plus_50,step_nominal,Hinf_state_feedback,16.754586939627238,LQI,132.17800836172967,Hinf_state_feedback,0.0003323106963338773
saturation,ramp,Hinf_state_feedback,2.5354473820589227,PID,67.41415391788368,Hinf_state_feedback,8.701257996030819
saturation,sine,LQR,26.894748234560176,TD3_loaded,124.96204315593475,LQR,6.448788162501064
saturation,step_load_disturbance,LQR,28.47695818537347,TD3_loaded,166.94817352487937,LQR,22.059021367893575
saturation,step_nominal,LQR,26.894748234560396,TD3_loaded,142.4007366117445,LQR,12.410328991421089
