condition,scenario,best_iae_controller,best_iae,best_energy_controller,best_control_energy,best_sse_controller,best_sse
combined_stress,ramp,SAC,5.315914663755512,PID,89.8159192166311,Hinf,19.866086481435264
combined_stress,sine,Hinf,29.77580089915315,TD3,133.48058123848017,Hinf,17.818275880999124
combined_stress,step_load_disturbance,Hinf,31.34468733596149,TD3,116.25261738995646,SAC,30.325407092927843
combined_stress,step_nominal,Hinf,29.775800899153367,TD3,128.48430947929145,SAC,19.95497979276737
friction,ramp,SAC,0.2585251118665541,LQI,27.5488292413796,SAC,0.4821711177001163
friction,sine,Hinf,15.744377236086647,LQI,74.59838553157634,SAC,0.7839224867049908
friction,step_load_disturbance,Hinf,12.497726536197469,LQI,77.64726929665302,Hinf,0.1760015297722401
friction,step_nominal,Hinf,12.415375896708197,LQI,68.04595229665475,Hinf,0.0352003250785568
j_plus_50,ramp,SAC,0.4222208904892031,LQI,51.3634218234281,SAC,0.8262082863876955
j_plus_50,sine,Hinf,20.68742371729796,PID,164.60515990903684,SAC,1.2153655871312623
j_plus_50,step_load_disturbance,Hinf,18.599746024359224,LQI,162.7222956109352,Hinf,0.1408013549031244
j_plus_50,step_nominal,Hinf,18.227853789576763,LQI,150.5050985864097,Hinf,9.482071448019269e-09
nominal,ramp,SAC,0.24210199403803023,LQI,24.55995800475878,SAC,0.44798032532289656
nominal,sine,Hinf,15.47923037519835,LQI,69.96365057446202,SAC,0.7456636237943769
nominal,step_load_disturbance,Hinf,12.21378434638784,LQI,72.31955418522155,Hinf,0.1408012198291629
nominal,step_nominal,Hinf,12.140318722922022,LQI,63.208853481119206,Hinf,1.9189735667168863e-09
ra_plus_50,ramp,SAC,0.4037260298158,LQI,51.36362923842084,SAC,0.7766246764756403
ra_plus_50,sine,Hinf,19.531810009982387,LQI,148.8665008622154,SAC,1.1711842846481104
ra_plus_50,step_load_disturbance,Hinf,17.186014847551583,LQI,150.84409298669928,Hinf,0.2075955747855465
ra_plus_50,step_nominal,Hinf,16.754586939627238,LQI,132.17800836172967,Hinf,0.0003323106963338
saturation,ramp,Hinf,2.5354473820589227,PID,67.41415391788368,Hinf,8.701257996030819
saturation,sine,Hinf,26.894748234560176,TD3,151.08552741062306,Hinf,6.448788162501064
saturation,step_load_disturbance,Hinf,28.47695818537347,TD3,162.09823808986408,SAC,18.426330494000013
saturation,step_nominal,Hinf,26.8947482345604,TD3,141.55758051624983,SAC,7.922247162385119
