seed,checkpoint,checkpoint_path,IAE,ISE,SSE,ControlEnergy,SaturationFraction,objective
0,002,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_00\sac_model_chunk_002.zip,15.613933118244178,1089.0704273878143,5.961618176362546,203.65592866183863,0.6215069860279441,15.912014027062305
1,003,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_01\sac_model_chunk_003.zip,15.62011169949907,1089.0564387268505,5.966557797830165,203.5709589000472,0.6195941450432468,15.918439589390578
2,003,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_02\sac_model_chunk_003.zip,15.699706724333227,1089.4458718439987,6.068088956973074,203.68302095471392,0.6220891550232868,16.00311117218188
3,004,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_03\sac_model_chunk_004.zip,15.664082698771429,1089.297890551569,5.969327191961658,204.0359508802393,0.6226713240186293,15.962549058369511
4,002,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_04\sac_model_chunk_002.zip,15.60832728653046,1088.7517370936598,6.023225971103533,203.51464596871554,0.6196773120425815,15.909488585085638
5,004,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_05\sac_model_chunk_004.zip,15.622443984462485,1088.9873951953462,5.959296163424074,203.97457062887122,0.6209248170326015,15.920408792633689
6,001,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_06\sac_model_chunk_001.zip,15.596455420004942,1088.6975615080437,5.999287065910376,203.88199664594822,0.624251497005988,15.89641977330046
7,002,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_07\sac_model_chunk_002.zip,15.632107408719044,1089.0573684978426,5.9895838378871815,203.803090913686,0.6210079840319361,15.931586600613404
8,003,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_08\sac_model_chunk_003.zip,15.596914439583008,1088.823787421279,5.891661682069095,204.4063661940306,0.6245841650033267,15.891497523686462
9,004,python_td3_experiments\outputs\residual_sac_hinf_curriculum_mpcwarm_10seeds_100k\seed_09\sac_model_chunk_004.zip,15.625318436927984,1089.0852402203584,6.060998613263361,203.7718239681276,0.6233366600133067,15.928368367591151
