condition,scenario,best_iae_controller,best_iae,best_energy_controller,best_control_energy,best_sse_controller,best_sse
combined_stress,ramp,SAC,5.579632405720777,PID,89.8159192166311,LQR,20.54226089196116
combined_stress,sine,LQR,29.77580089915315,TD3,133.48058123848017,LQR,17.818275880999124
combined_stress,step_load_disturbance,LQR,31.34468733596149,TD3,116.25261738995646,SAC,30.325407092927843
combined_stress,step_nominal,LQR,29.775800899153367,TD3,128.48430947929145,SAC,19.95497979276737
friction,ramp,SAC,0.3232538108079393,LQI,27.5488292413796,SAC,0.638442960589984
friction,sine,LQR,15.846791738274048,LQI,74.59838553157634,SAC,1.0326754011726464
friction,step_load_disturbance,LQR,12.532448634516603,LQI,77.64726929665302,LQR,0.2980287446907602
friction,step_nominal,LQR,12.426643777097622,LQI,68.04595229665475,LQR,0.0596057364309115
j_plus_50,ramp,SAC,0.6422232717922279,LQI,51.3634218234281,SAC,1.2274236665254392
j_plus_50,sine,LQR,20.7746524114592,PID,164.60515990903684,SAC,1.8155428499984894
j_plus_50,step_load_disturbance,LQR,18.61888164472296,LQI,162.7222956109352,LQR,0.2385360462075527
j_plus_50,step_nominal,LQR,18.23614683872834,LQI,150.5050985864097,LQR,2.5778972757848352e-05
nominal,ramp,SAC,0.29455171487153725,LQI,24.55995800475878,SAC,0.5772731975781966
nominal,sine,LQR,15.58409239419828,LQI,69.96365057446202,SAC,0.968184696200342
nominal,step_load_disturbance,LQR,12.243188558798453,LQI,72.31955418522155,LQR,0.2384229904264245
nominal,step_nominal,LQR,12.14554493920406,LQI,63.208853481119206,LQR,4.516053024872235e-09
ra_plus_50,ramp,SAC,0.6202824617315156,LQI,51.36362923842084,SAC,1.2321692615586826
ra_plus_50,sine,LQR,19.62932464000081,LQI,148.8665008622154,SAC,1.7201018328752198
ra_plus_50,step_load_disturbance,LQR,17.213470365581856,LQI,150.84409298669928,LQR,0.3538121151797594
ra_plus_50,step_nominal,LQR,16.76295687735815,LQI,132.17800836172967,LQR,0.0005759734254328
saturation,ramp,SAC,2.8580938508880243,PID,67.41415391788368,LQR,9.52057560774435
saturation,sine,LQR,26.894748234560176,TD3,151.08552741062306,LQR,6.448788162501064
saturation,step_load_disturbance,LQR,28.47695818537347,TD3,162.09823808986408,SAC,18.426330494000013
saturation,step_nominal,LQR,26.8947482345604,TD3,141.55758051624983,SAC,7.922247162385119
