seed,episodes,final_reward,recent10_mean_reward,best_roll10_reward,final_env_step
0,200,726.41466,-366.99699210000006,641.8652893000001,100000
1,200,-387.472574,-233.4850712,554.6579575000001,100000
2,200,-495.823321,-351.69401419999997,567.0830004000001,100000
3,200,-534.126719,-351.5093409,495.93749640000004,100000
4,200,-495.823321,-229.159301,854.17896,100000
5,200,-534.126719,-189.07324320000004,849.535804,100000
6,200,-79.868326,-196.1517176,653.6934916666667,100000
7,200,-387.472574,-283.31569989999997,620.1422106666668,100000
8,200,-493.79808,-305.31259429999994,851.9522,100000
9,200,-447.156993,-259.9389439,518.9099921999999,100000
